Cell_Type,TF_motif,Mean_in_class,Mean_other,Cohens_d,RankBiserial_AUC,p_value,n_in_class,FDR,Significant,Assoc_Strength
B cells,ZIC5,0.3521758857627016,-0.11525404698764923,0.47561885660877673,0.6373686669941369,2.0470520835264e-38,818,7.158489827094049e-38,False,0.0
B cells,PBX2,0.4316374610484433,-0.04850166535376392,0.4696866391208372,0.6290998924990326,3.952122829580721e-34,818,1.279223117478688e-33,False,0.0
B cells,HES1,0.3642511714218029,-0.06401474543324466,0.46076602228518365,0.6290620249306579,4.1290765795183345e-34,818,1.3354311623286315e-33,False,0.0
B cells,NEUROD1,0.40938720293941694,-0.054887178311985856,0.4587145619028094,0.6350831216122325,3.326591086801817e-37,818,1.13677259604731e-36,False,0.0
B cells,GLIS2,0.3687810836407126,-0.10700120759531918,0.4569314159160922,0.6312246156978395,3.3163926397946385e-35,818,1.0935716887211986e-34,False,0.0
B cells,PRRX2,0.3983187255509592,-0.04802498397953748,0.44997652525994486,0.6179824650161926,8.813088053522283e-29,818,2.5989616810897344e-28,False,0.0
B cells,PLAG1,0.3523468363426872,-0.022013610879337175,0.44760213114898734,0.6257232398939585,1.868182409893367e-32,818,5.85036070466607e-32,False,0.0
B cells,HES6,0.40096551596288477,-0.05908075252100505,0.44692530186285545,0.6258805359472074,1.5645284987433284e-32,818,4.907040547221323e-32,False,0.0
B cells,GLI3,0.37297402988591927,-0.05462593064255026,0.445684041512473,0.627758736676595,1.8500944264380262e-33,818,5.908036345199885e-33,False,0.0
B cells,NEUROG2(var.2),0.3903190492273577,-0.05282991083408462,0.44176816691807125,0.629962721142,1.4517842630613718e-34,818,4.733214446693239e-34,False,0.0
B cells,ZKSCAN5,0.5959886858957616,-0.009135573131280626,0.43894675362415914,0.6447349055579779,1.870142928062194e-42,818,6.980256722269038e-42,False,0.0
B cells,ZBTB14,0.2834090826789245,-0.11828331719645974,0.4232801861309162,0.6268785840043711,5.050975648969414e-33,818,1.6015867927688283e-32,False,0.0
B cells,TGIF1,0.37780481290615314,-0.06595422338632075,0.4115001640442005,0.6161681945540611,5.927987784068464e-28,818,1.7058775657426035e-27,False,0.0
B cells,ZNF136,0.37367074810653067,-0.029161317225923154,0.41135709185984837,0.6117284904546132,5.563248699026951e-26,818,1.5438205923362858e-25,False,0.0
