TF,CellType,MeanExpression,DetectionRate,Significance
NIBAN3,HSC_-G-CSF,-0.3094309985270245,0.0,0.0
NIBAN3,Pre-B_cell_CD34-,3.1056614684436834,1.0,29.81028454437708
BNC2,T_cells,-0.13197578603352708,0.01160092807424594,13.122914464088934
BNC2,Monocyte,-0.17546316743249313,0.0045871559633027525,23.9124953773084
BNC2,NK_cell,2.605456084617029,0.5263157894736842,682.7611206928171
BNC2,B_cell,-0.18811293013153182,0.0,0.0
BNC2,HSC_-G-CSF,1.4656746252367856,0.5,4.314577910908826
BNC2,Pre-B_cell_CD34-,-0.18811293013153194,0.0,0.0
IRAK3,T_cells,-0.7286020043067357,0.030162412993039442,644.3338768540702
IRAK3,Monocyte,0.949190355684689,0.8922018348623854,2074.102337284115
IRAK3,NK_cell,-0.7771076774158154,0.0,37.72981608627595
IRAK3,B_cell,-0.6061262380402153,0.10752688172043011,38.946405700991235
IRAK3,HSC_-G-CSF,1.5883347801839087,1.0,5.070697873346263
IRAK3,Pre-B_cell_CD34-,-0.7771076774158154,0.0,0.0
IL7R,T_cells,0.8195292644624357,0.7146171693735499,979.2157338128009
IL7R,Monocyte,-0.6032788685812346,0.05733944954128441,378.765018767219
IL7R,NK_cell,-0.611760493740109,0.03508771929824561,23.057849131760353
IL7R,B_cell,-0.5714198795079749,0.053763440860215055,34.46760991135742
IL7R,HSC_-G-CSF,-0.08094198707667533,0.5,0.0
IL7R,Pre-B_cell_CD34-,-0.6710817901034208,0.0,0.0
NKG7,T_cells,0.02700341534102459,0.20649651972157773,0.0
NKG7,Monocyte,-0.3044438657241655,0.10779816513761468,75.55019869561994
NKG7,NK_cell,2.804465583856077,1.0,884.9980253476069
NKG7,B_cell,-0.40296889275212516,0.03225806451612903,16.854982168352414
NKG7,HSC_-G-CSF,0.02010644433337047,0.5,0.0
NKG7,Pre-B_cell_CD34-,-0.4398635662536486,0.0,0.0
NR6A1,T_cells,-0.2752245424513381,0.018561484918793503,59.64079042466958
NR6A1,Monocyte,0.26173606695739743,0.20642201834862386,54.78180305933551
NR6A1,NK_cell,0.42382292831373,0.21052631578947367,10.93828171719986
NR6A1,B_cell,-0.27908934267444574,0.021505376344086023,8.015923835860692
NR6A1,HSC_-G-CSF,3.653871314997982,1.0,27.419334268325645
NR6A1,Pre-B_cell_CD34-,-0.335162690684572,0.0,0.0
LINC01226,T_cells,-0.08080311503191055,0.002320185614849188,4.879990883384373
LINC01226,Monocyte,-0.048240512554184996,0.009174311926605505,0.0
LINC01226,NK_cell,0.0669664749574164,0.017543859649122806,0.0
LINC01226,B_cell,0.23032793044340785,0.03225806451612903,5.445944576061001
LINC01226,HSC_-G-CSF,-0.1056338206262145,0.0,0.0
LINC01226,Pre-B_cell_CD34-,10.277562363273637,1.0,460.3554962553771
EBF1,T_cells,-0.2649551470694319,0.004640371229698376,55.037423312392086
